300 30
together 4 174
together 4 286
together 7 203
together 7 265
together 13 137
together 14 45
together 25 269
together 34 103
together 39 128
together 48 273
together 54 92
together 54 171
together 55 150
together 57 112
together 62 271
together 64 235
together 66 222
together 68 133
together 68 152
together 68 225
together 75 225
together 81 209
together 90 288
together 97 253
together 104 259
together 116 177
together 124 197
together 125 276
together 131 215
together 144 167
together 147 244
together 153 169
together 162 231
together 169 271
together 192 272
together 197 293
together 214 248
together 221 241
together 229 239
together 239 283
apart 0 118
apart 0 186
apart 0 201
apart 0 207
apart 1 54
apart 1 70
apart 1 111
apart 1 125
apart 1 163
apart 1 176
apart 1 188
apart 1 215
apart 1 237
apart 2 41
apart 2 44
apart 2 131
apart 2 242
apart 3 87
apart 3 117
apart 3 152
apart 3 154
apart 3 215
apart 3 240
apart 4 8
apart 4 9
apart 4 29
apart 4 40
apart 4 75
apart 4 123
apart 4 138
apart 4 230
apart 5 10
apart 5 127
apart 5 166
apart 5 252
apart 5 263
apart 5 275
apart 5 292
apart 6 9
apart 6 42
apart 6 86
apart 6 101
apart 6 117
apart 6 191
apart 6 225
apart 6 288
apart 7 15
apart 7 29
apart 7 33
apart 7 63
apart 7 84
apart 7 129
apart 7 193
apart 7 198
apart 7 217
apart 7 239
apart 7 266
apart 8 14
apart 8 34
apart 8 35
apart 8 38
apart 8 68
apart 8 111
apart 8 203
apart 8 213
apart 9 120
apart 9 122
apart 9 188
apart 9 192
apart 9 221
apart 9 231
apart 9 297
apart 10 43
apart 10 115
apart 10 243
apart 11 63
apart 11 234
apart 12 21
apart 12 32
apart 12 37
apart 12 40
apart 12 56
apart 12 101
apart 12 285
apart 12 289
apart 13 26
apart 13 41
apart 13 120
apart 13 151
apart 13 162
apart 13 225
apart 13 264
apart 13 279
apart 13 287
apart 14 62
apart 14 102
apart 14 243
apart 14 273
apart 15 112
apart 15 168
apart 15 190
apart 15 232
apart 15 268
apart 16 29
apart 16 90
apart 16 99
apart 16 102
apart 16 118
apart 16 169
apart 16 178
apart 16 228
apart 16 273
apart 17 25
apart 17 27
apart 17 57
apart 17 81
apart 17 90
apart 17 110
apart 17 115
apart 17 160
apart 17 274
apart 17 285
apart 18 52
apart 18 139
apart 18 183
apart 18 234
apart 18 265
apart 19 118
apart 19 160
apart 19 191
apart 19 203
apart 19 222
apart 19 233
apart 19 246
apart 20 43
apart 20 47
apart 20 69
apart 20 87
apart 20 88
apart 20 97
apart 20 98
apart 20 167
apart 20 199
apart 20 264
apart 21 151
apart 21 160
apart 21 162
apart 21 200
apart 21 261
apart 22 35
apart 22 42
apart 22 79
apart 22 143
apart 22 155
apart 22 235
apart 22 265
apart 23 49
apart 23 75
apart 23 120
apart 23 231
apart 24 45
apart 24 76
apart 24 135
apart 24 167
apart 24 174
apart 24 188
apart 24 201
apart 24 224
apart 25 30
apart 25 136
apart 25 215
apart 26 37
apart 26 46
apart 26 67
apart 26 106
apart 26 158
apart 26 210
apart 26 222
apart 26 298
apart 27 61
apart 27 105
apart 27 174
apart 27 186
apart 27 237
apart 28 103
apart 28 133
apart 28 162
apart 28 175
apart 28 179
apart 29 85
apart 29 187
apart 29 196
apart 29 221
apart 29 254
apart 29 258
apart 29 276
apart 30 39
apart 30 44
apart 30 119
apart 30 134
apart 30 164
apart 30 236
apart 30 258
apart 30 273
apart 31 49
apart 31 60
apart 31 103
apart 31 168
apart 31 185
apart 31 206
apart 31 246
apart 32 62
apart 32 99
apart 32 184
apart 32 200
apart 32 238
apart 32 269
apart 33 34
apart 33 35
apart 33 64
apart 33 69
apart 33 75
apart 33 114
apart 33 127
apart 33 171
apart 33 189
apart 33 201
apart 33 208
apart 33 216
apart 33 241
apart 34 48
apart 34 251
apart 34 288
apart 35 61
apart 35 74
apart 35 90
apart 35 113
apart 36 93
apart 36 109
apart 36 130
apart 36 141
apart 36 177
apart 36 182
apart 36 188
apart 36 195
apart 36 248
apart 37 95
apart 37 106
apart 37 199
apart 37 216
apart 38 41
apart 38 244
apart 39 72
apart 39 175
apart 39 214
apart 39 255
apart 39 259
apart 40 108
apart 40 167
apart 40 177
apart 40 194
apart 40 232
apart 41 83
apart 41 178
apart 42 50
apart 42 104
apart 42 112
apart 42 177
apart 42 208
apart 42 261
apart 42 275
apart 42 278
apart 42 289
apart 43 103
apart 43 190
apart 43 199
apart 43 204
apart 43 229
apart 44 78
apart 44 95
apart 44 237
apart 44 243
apart 44 266
apart 44 276
apart 44 283
apart 45 187
apart 45 208
apart 45 284
apart 46 49
apart 46 137
apart 46 151
apart 46 219
apart 46 225
apart 46 231
apart 47 113
apart 47 129
apart 47 140
apart 47 187
apart 48 63
apart 48 122
apart 48 142
apart 48 153
apart 48 198
apart 48 251
apart 48 293
apart 49 53
apart 49 74
apart 49 109
apart 49 175
apart 49 223
apart 49 260
apart 49 265
apart 49 271
apart 50 78
apart 50 97
apart 50 103
apart 50 124
apart 50 216
apart 50 228
apart 50 260
apart 50 261
apart 50 264
apart 50 284
apart 50 286
apart 51 65
apart 51 84
apart 51 85
apart 51 87
apart 51 145
apart 51 233
apart 51 248
apart 51 260
apart 51 282
apart 51 288
apart 51 294
apart 52 66
apart 52 78
apart 52 88
apart 52 118
apart 52 120
apart 52 144
apart 52 161
apart 52 179
apart 52 184
apart 52 242
apart 52 258
apart 52 298
apart 53 62
apart 53 65
apart 53 141
apart 53 169
apart 53 183
apart 53 187
apart 53 273
apart 53 287
apart 54 112
apart 54 150
apart 54 160
apart 54 164
apart 54 166
apart 54 224
apart 54 256
apart 54 258
apart 55 178
apart 55 235
apart 56 60
apart 56 129
apart 56 155
apart 56 170
apart 56 210
apart 56 211
apart 56 212
apart 56 214
apart 56 224
apart 56 240
apart 56 245
apart 57 68
apart 57 121
apart 57 136
apart 57 171
apart 57 254
apart 57 257
apart 57 258
apart 58 151
apart 58 154
apart 58 183
apart 58 211
apart 58 258
apart 59 166
apart 59 204
apart 59 224
apart 59 237
apart 59 238
apart 60 62
apart 60 85
apart 60 149
apart 60 169
apart 60 209
apart 60 247
apart 60 252
apart 60 271
