40 8
together 0 12
together 1 2
together 1 36
together 2 31
together 2 35
together 3 22
together 5 28
together 6 10
together 8 22
together 9 21
together 11 21
together 11 22
together 13 22
together 13 27
together 13 31
together 19 20
together 20 30
together 25 35
together 34 35
apart 0 32
apart 1 35
apart 3 9
apart 3 22
apart 4 26
apart 4 29
apart 5 34
apart 6 8
apart 6 14
apart 6 15
apart 6 37
apart 8 30
apart 11 34
apart 12 21
apart 12 26
apart 12 30
apart 14 28
apart 16 28
apart 18 28
apart 22 32
apart 23 24
apart 24 37
apart 26 28
apart 26 38
apart 29 36
