60 6
apart 0 1
apart 0 2
apart 0 4
apart 0 6
apart 0 8
apart 0 11
apart 0 12
apart 0 13
apart 0 16
apart 0 19
apart 0 29
apart 0 39
apart 0 44
apart 0 48
apart 0 49
apart 0 51
together 0 57
apart 0 58
apart 1 2
apart 1 11
apart 1 12
apart 1 18
apart 1 19
apart 1 23
apart 1 25
apart 1 27
apart 1 31
apart 1 33
apart 1 47
apart 1 49
apart 1 50
apart 1 57
apart 2 5
apart 2 9
apart 2 18
apart 2 20
apart 2 26
apart 2 32
apart 2 37
apart 2 38
apart 2 42
apart 2 43
apart 2 51
apart 2 52
apart 2 53
apart 3 11
apart 3 12
apart 3 16
apart 3 21
apart 3 23
apart 3 28
apart 3 30
apart 3 34
apart 3 43
apart 3 45
apart 3 48
apart 3 50
apart 3 53
apart 3 58
apart 3 59
apart 4 9
apart 4 10
apart 4 14
apart 4 15
apart 4 19
apart 4 22
apart 4 29
apart 4 41
apart 4 45
apart 4 46
apart 4 49
apart 5 12
apart 5 16
apart 5 20
apart 5 21
apart 5 26
apart 5 31
apart 5 33
apart 5 39
apart 5 58
apart 5 59
apart 6 8
apart 6 11
apart 6 12
apart 6 21
apart 6 26
apart 6 29
apart 6 34
apart 6 40
apart 6 46
apart 6 48
apart 7 8
apart 7 9
apart 7 24
apart 7 25
apart 7 27
apart 7 35
apart 7 40
apart 7 43
apart 7 46
apart 7 50
apart 7 54
apart 7 55
apart 7 57
apart 8 12
apart 8 14
apart 8 18
apart 8 22
apart 8 27
apart 8 44
apart 8 46
apart 9 10
apart 9 15
apart 9 25
apart 9 26
apart 9 33
apart 9 40
apart 9 42
apart 9 43
apart 9 50
apart 9 52
apart 9 55
apart 9 56
apart 9 57
apart 10 11
apart 10 13
apart 10 15
apart 10 18
apart 10 21
apart 10 24
apart 10 26
apart 10 28
apart 10 37
apart 10 38
apart 10 40
apart 10 44
apart 10 50
apart 10 51
apart 10 55
apart 10 58
apart 11 13
apart 11 14
apart 11 17
apart 11 27
apart 11 35
apart 11 37
apart 11 43
apart 11 44
apart 11 45
apart 11 47
apart 11 49
apart 11 55
apart 11 57
apart 11 58
apart 12 13
apart 12 14
apart 12 17
apart 12 21
apart 12 22
apart 12 25
apart 12 27
apart 12 29
apart 12 30
apart 12 33
apart 12 36
apart 12 38
apart 12 39
apart 12 44
apart 12 49
apart 12 54
apart 13 14
together 13 17
apart 13 20
apart 13 38
apart 13 40
apart 13 46
apart 13 49
apart 13 54
apart 14 19
apart 14 31
apart 14 37
apart 14 42
together 14 44
apart 14 52
apart 14 56
apart 15 20
apart 15 21
apart 15 22
apart 15 26
apart 15 27
apart 15 28
apart 15 31
apart 15 40
apart 15 41
apart 15 42
apart 15 43
apart 15 48
apart 15 50
apart 15 57
apart 16 26
apart 16 31
apart 16 35
apart 16 46
apart 16 47
apart 16 48
apart 16 52
apart 16 55
apart 17 18
apart 17 21
apart 17 26
apart 17 27
apart 17 31
apart 17 32
apart 17 37
apart 17 45
apart 17 47
apart 18 20
apart 18 26
apart 18 28
apart 18 35
apart 18 42
apart 18 52
apart 18 53
apart 18 54
apart 18 57
apart 19 22
apart 19 28
apart 19 30
apart 19 37
apart 19 45
apart 19 48
apart 19 55
apart 20 24
apart 20 25
apart 20 27
apart 20 31
apart 20 34
apart 20 37
apart 20 39
apart 20 44
apart 20 49
apart 20 50
apart 20 51
apart 21 26
apart 21 35
apart 21 38
apart 21 46
apart 21 53
apart 21 55
apart 21 56
apart 22 36
apart 22 39
apart 22 42
apart 22 53
apart 23 39
apart 23 52
apart 23 53
apart 23 55
apart 23 57
apart 24 30
apart 24 34
apart 24 41
apart 24 42
apart 24 46
apart 24 49
apart 24 51
apart 24 52
apart 24 54
apart 25 26
apart 25 31
apart 25 41
apart 25 42
apart 25 45
apart 25 50
apart 25 51
apart 25 55
apart 26 28
apart 26 34
apart 26 41
apart 26 52
apart 26 58
apart 26 59
apart 27 29
apart 27 36
apart 27 37
apart 27 42
apart 27 44
apart 27 57
apart 28 29
apart 28 30
apart 28 36
apart 28 38
apart 28 51
apart 29 31
apart 29 32
apart 29 35
apart 29 37
apart 29 38
apart 29 42
apart 29 45
apart 29 50
apart 29 58
apart 29 59
apart 30 38
apart 30 48
apart 30 53
apart 30 55
apart 31 34
apart 31 36
apart 31 38
apart 31 46
apart 31 50
together 31 52
apart 31 53
apart 31 54
apart 31 59
apart 32 34
apart 32 39
apart 32 42
apart 32 44
apart 32 45
apart 32 49
apart 32 50
apart 32 54
apart 32 55
apart 32 58
apart 33 44
apart 33 56
apart 34 35
apart 34 39
apart 34 43
apart 34 47
apart 34 50
apart 35 36
apart 35 37
apart 35 39
apart 35 41
apart 35 42
apart 36 39
apart 36 40
apart 36 44
apart 36 46
apart 36 51
apart 36 52
apart 36 53
apart 36 54
apart 36 57
apart 37 43
apart 37 44
apart 37 52
apart 38 48
apart 38 51
apart 38 52
apart 38 55
apart 39 59
apart 40 46
apart 40 47
apart 40 55
apart 40 59
apart 41 51
apart 41 53
apart 41 54
apart 41 57
apart 42 50
apart 42 51
apart 42 52
together 42 53
apart 43 44
apart 43 48
apart 43 51
apart 43 52
apart 43 56
apart 44 49
apart 44 57
apart 44 59
apart 45 49
apart 45 57
apart 46 47
apart 46 51
apart 46 55
apart 46 59
apart 47 49
apart 47 50
apart 48 50
apart 49 54
apart 50 52
apart 50 55
apart 51 55
apart 51 56
apart 51 58
apart 52 55
apart 53 57
apart 53 58
